YEAR,DEPT,VALID,BLANK,VOID,REJECT,BALLOTS,PFA,PDC,PN,PC,PI,PINT,PLib,PLab2,PLab1,PT,PNE,PUC,PUCU,PVEE,PDS,PA,PSS,PAO,PMJ,PDL,PR,PMP,PGP,PMJ,PCONV,PUP,PURC,PJP,PJDO,PAT,PF,PFIL,PS,PMCC,PMRO,POR,PCOM,UDR,MRENOV,PCPYSS,POSIN,PNI,PFCAP,PO,PAP
1958,ROCHA ,29111,,,,,,,16656,9735,,,,,0,,,,436,,,,,,,,,,,,,,,,,,,,238,,,0,207,1839,0,0,0,,,,
1958,TREINTA Y TRES ,21610,,,,,,,12682,6853,,,,,0,,,,246,,,,,,,,,,,,,,,,,,,,184,,,0,130,1515,0,0,0,,,,
1958,CERRO LARGO ,29777,,,,,,,19067,8282,,,,,0,,,,519,,,,,,,,,,,,,,,,,,,,355,,,0,103,1396,55,0,0,,,,
1958,RIVERA ,32833,,,,,,,15909,14747,,,,,0,,,,567,,,,,,,,,,,,,,,,,,,,623,,,0,334,653,0,0,0,,,,
1958,ARTIGAS ,20773,,,,,,,7252,11771,,,,,0,,,,1348,,,,,,,,,,,,,,,,,,,,125,,,0,43,234,0,0,0,,,,
1958,SALTO ,35726,,,,,,,17213,13912,,,,,0,,,,1738,,,,,,,,,,,,,,,,,,,,1236,,,0,308,1319,0,0,0,,,,
1958,PAYSANDÚ ,35587,,,,,,,17678,15011,,,,,0,,,,1598,,,,,,,,,,,,,,,,,,,,413,,,0,340,495,0,0,52,,,,
1958,RÍO NEGRO ,17660,,,,,,,9195,7200,,,,,0,,,,446,,,,,,,,,,,,,,,,,,,,446,,,0,373,0,0,0,0,,,,
1958,SORIANO  ,37037,,,,,,,20960,13941,,,,,0,,,,1019,,,,,,,,,,,,,,,,,,,,752,,,0,365,0,0,0,0,,,,
1958,COLONIA ,50606,,,,,,,30069,16412,,,,,0,,,,1601,,,,,,,,,,,,,,,,,,,,807,,,0,418,1299,0,0,0,,,,
1958,SAN JOSÉ ,33273,,,,,,,19808,11211,,,,,0,,,,1550,,,,,,,,,,,,,,,,,,,,244,,,0,321,117,22,0,0,,,,
1958,FLORES ,13128,,,,,,,8173,3875,,,,,0,,,,707,,,,,,,,,,,,,,,,,,,,135,,,0,46,192,0,0,0,,,,
1958,FLORIDA ,33240,,,,,,,19198,12291,,,,,0,,,,685,,,,,,,,,,,,,,,,,,,,222,,,1,172,671,0,0,0,,,,
1958,DURAZNO ,26545,,,,,,,16814,8122,,,,,0,,,,705,,,,,,,,,,,,,,,,,,,,216,,,0,127,535,26,0,0,,,,
1958,LAVALLEJA ,32728,,,,,,,19381,11408,,,,,0,,,,641,,,,,,,,,,,,,,,,,,,,227,,,5,211,855,0,0,0,,,,
1958,TACUAREMBÓ ,34277,,,,,,,17996,14382,,,,,0,,,,839,,,,,,,,,,,,,,,,,,,,300,,,0,302,458,0,0,0,,,,
1958,URUGUAY,1005362,,,,,,,499425,379062,,,,,52,,,,37625,,,,,,,,,,,,,,,,,,,,35478,,,142,27080,19979,6325,142,52,,,,
1954,MONTEVIDEO ,349448,,,,,,,99806,179383,,,,,,,,,25872,,,,,,,,,,,,,,,,,,,,22967,,,,16247,,,,,5038,70,65,
1954,CANELONES ,75575,,,,,,,27436,42571,,,,,,,,,2680,,,,,,,,,,,,,,,,,,,,582,,,,570,,,,,1717,19,0,
